TFCNN-fpr,TFCNN-tpr,TCNN-fpr,TCNN-tpr,FCNN-fpr,FCNN-tpr,DT-fpr,DT-tpr,XG-fpr,XG-tpr,RF-fpr,RF-tpr,SVM-fpr,SVM-tpr,MLP-fpr,MLP-tpr
0.00205497,0.910209,0.00308246,0.548435,0.00513743,0.662072,,,0,0.165425,0,0.120343,0.00128436,0.219449,0.00128436,0.252235
0.00205497,0.910954,0.00308246,0.551788,0.00513743,0.662817,,,0,0.207526,0,0.123323,0.00128436,0.233234,0.00128436,0.263413
0.00205497,0.911326,0.00308246,0.554024,0.00513743,0.663934,,,0,0.208271,0,0.125931,0.00154123,0.233234,0.00154123,0.263413
0.00205497,0.912072,0.00308246,0.554769,0.0053943,0.665052,,,0,0.315946,0,0.132638,0.00154123,0.241803,0.00154123,0.273472
0.00205497,0.912817,0.00308246,0.557004,0.0053943,0.665797,,,0.000256871,0.315946,0,0.134873,0.0017981,0.241803,0.0017981,0.273472
0.00205497,0.913562,0.00308246,0.55924,0.0053943,0.668405,,,0.000256871,0.316319,0,0.137854,0.0017981,0.247019,0.0017981,0.275335
0.00205497,0.919523,0.00308246,0.559613,0.0053943,0.669151,,,0.000770614,0.316319,0,0.139717,0.00205497,0.247019,0.00205497,0.275335
0.00231184,0.919523,0.00308246,0.561848,0.0053943,0.671386,,,0.000770614,0.334575,0,0.142325,0.00205497,0.247765,0.00205497,0.279434
0.00231184,0.920641,0.00308246,0.562593,0.0053943,0.672876,,,0.00102749,0.334575,0,0.144188,0.00231184,0.247765,0.00231184,0.279434
0.00231184,0.921386,0.00308246,0.563711,0.0053943,0.674367,,,0.00102749,0.363264,0,0.147914,0.00231184,0.287258,0.00231184,0.289493
0.00231184,0.930328,0.00308246,0.564456,0.0053943,0.67623,,,0.00128436,0.363264,0,0.152012,0.00256871,0.287258,0.00256871,0.289493
0.00256871,0.930328,0.00308246,0.566692,0.0053943,0.676975,,,0.00128436,0.369225,0,0.15462,0.00256871,0.290984,0.00256871,0.293219
0.00256871,0.933308,0.00308246,0.568182,0.0053943,0.67921,,,0.00154123,0.369225,0,0.157601,0.00282558,0.290984,0.00282558,0.293219
0.00282558,0.933308,0.00308246,0.568554,0.0053943,0.679583,,,0.00154123,0.428838,0,0.159463,0.00282558,0.315574,0.00282558,0.321535
0.00282558,0.934054,0.00308246,0.569672,0.0053943,0.681446,,,0.0017981,0.428838,0,0.161699,0.00308246,0.315574,0.00308246,0.321535
0.00308246,0.934054,0.00308246,0.570417,0.0053943,0.681818,,,0.0017981,0.451192,0,0.16468,0.00308246,0.326751,0.00308246,0.328614
0.00308246,0.935917,0.00308246,0.571535,0.0053943,0.682936,,,0.00205497,0.451192,0,0.168778,0.00333933,0.326751,0.00333933,0.328614
0.00333933,0.935917,0.00308246,0.57228,0.0053943,0.683308,,,0.00205497,0.45231,0,0.171386,0.00333933,0.33383,0.00333933,0.342027
0.00333933,0.938152,0.00308246,0.572653,0.0053943,0.684799,,,0.00231184,0.45231,0,0.175857,0.0035962,0.33383,0.0035962,0.342027
0.00385307,0.938152,0.00308246,0.573398,0.0053943,0.685544,,,0.00231184,0.464605,0,0.176602,0.0035962,0.352832,0.0035962,0.354694
0.00385307,0.939642,0.00308246,0.574516,0.0053943,0.686662,,,0.00256871,0.464605,0,0.1807,0.00385307,0.352832,0.00385307,0.354694
0.00410994,0.939642,0.00333933,0.574888,0.0053943,0.687407,,,0.00256871,0.467958,0,0.182563,0.00385307,0.355067,0.00385307,0.367735
0.00410994,0.944113,0.00333933,0.575633,0.0053943,0.68927,,,0.00282558,0.467958,0,0.185544,0.00410994,0.355067,0.00410994,0.367735
0.00436681,0.944113,0.00333933,0.576006,0.0053943,0.69076,,,0.00282558,0.479136,0,0.188152,0.00410994,0.364382,0.00410994,0.36997
0.00436681,0.948212,0.00333933,0.578987,0.0053943,0.691133,,,0.00333933,0.479136,0,0.191505,0.00436681,0.364382,0.00436681,0.36997
0.00462368,0.948212,0.00333933,0.580104,0.0053943,0.692623,,,0.00333933,0.483979,0,0.192996,0.00436681,0.373696,0.00436681,0.372951
0.00462368,0.949702,0.00333933,0.580849,0.0053943,0.693368,,,0.0035962,0.483979,0,0.196721,0.00462368,0.373696,0.00462368,0.372951
0.00488055,0.949702,0.00333933,0.581967,0.0053943,0.694486,,,0.0035962,0.498137,0,0.198212,0.00462368,0.377422,0.00462368,0.388599
0.00488055,0.95082,0.00333933,0.582712,0.0053943,0.694858,,,0.00385307,0.498137,0,0.199329,0.00488055,0.377422,0.00488055,0.388599
0.00513743,0.95082,0.00333933,0.58383,0.0053943,0.695604,,,0.00385307,0.500745,0,0.201937,0.00488055,0.380775,0.00488055,0.395306
0.00513743,0.951937,0.00333933,0.584575,0.0053943,0.696349,,,0.00410994,0.500745,0,0.206036,0.00513743,0.380775,0.00513743,0.395306
0.0053943,0.951937,0.00333933,0.585693,0.0053943,0.697094,,,0.00410994,0.512668,0,0.207899,0.00513743,0.385618,0.00513743,0.396051
0.0053943,0.95231,0.00333933,0.589419,0.00590804,0.697466,,,0.00436681,0.512668,0,0.210134,0.0053943,0.385618,0.0053943,0.396051
0.00565117,0.95231,0.00333933,0.590164,0.00590804,0.698584,,,0.00436681,0.515276,0,0.213115,0.0053943,0.385991,0.0053943,0.398659
